-5 -5 -1.47482e+30
-5 -4.9 -1.44564e+30
-5 -4.8 -1.41706e+30
-5 -4.7 -1.38906e+30
-5 -4.6 -1.36165e+30
-5 -4.5 -1.33484e+30
-5 -4.4 -1.30861e+30
-5 -4.3 -1.28297e+30
-5 -4.2 -1.25793e+30
-5 -4.1 -1.23347e+30
-5 -4 -1.2096e+30
-5 -3.9 -1.18632e+30
-5 -3.8 -1.16364e+30
-5 -3.7 -1.14154e+30
-5 -3.6 -1.12003e+30
-5 -3.5 -1.09911e+30
-5 -3.4 -1.07878e+30
-5 -3.3 -1.05903e+30
-5 -3.2 -1.03988e+30
-5 -3.1 -1.02132e+30
-5 -3 -1.00335e+30
-5 -2.9 -9.85966e+29
-5 -2.8 -9.69173e+29
-5 -2.7 -9.52968e+29
-5 -2.6 -9.37354e+29
-5 -2.5 -9.22329e+29
-5 -2.4 -9.07893e+29
-5 -2.3 -8.94046e+29
-5 -2.2 -8.80789e+29
-5 -2.1 -8.68122e+29
-5 -2 -8.56043e+29
-5 -1.9 -8.44554e+29
-5 -1.8 -8.33654e+29
-5 -1.7 -8.23344e+29
-5 -1.6 -8.13622e+29
-5 -1.5 -8.0449e+29
-5 -1.4 -7.95948e+29
-5 -1.3 -7.87994e+29
-5 -1.2 -7.8063e+29
-5 -1.1 -7.73855e+29
-5 -1 -7.67669e+29
-5 -0.9 -7.62072e+29
-5 -0.8 -7.57064e+29
-5 -0.7 -7.52646e+29
-5 -0.6 -7.48817e+29
-5 -0.5 -7.45576e+29
-5 -0.4 -7.42925e+29
-5 -0.3 -7.40863e+29
-5 -0.2 -7.39391e+29
-5 -0.1 -7.38507e+29
-5 0 -7.38212e+29
-5 0.1 -7.38507e+29
-5 0.2 -7.39391e+29
-5 0.3 -7.40863e+29
-5 0.4 -7.42925e+29
-5 0.5 -7.45576e+29
-5 0.6 -7.48817e+29
-5 0.7 -7.52646e+29
-5 0.8 -7.57064e+29
-5 0.9 -7.62072e+29
-5 1 -7.67669e+29
-5 1.1 -7.73855e+29
-5 1.2 -7.8063e+29
-5 1.3 -7.87994e+29
-5 1.4 -7.95948e+29
-5 1.5 -8.0449e+29
-5 1.6 -8.13622e+29
-5 1.7 -8.23344e+29
-5 1.8 -8.33654e+29
-5 1.9 -8.44554e+29
-5 2 -8.56043e+29
-5 2.1 -8.68122e+29
-5 2.2 -8.80789e+29
-5 2.3 -8.94046e+29
-5 2.4 -9.07893e+29
-5 2.5 -9.22329e+29
-5 2.6 -9.37354e+29
-5 2.7 -9.52968e+29
-5 2.8 -9.69173e+29
-5 2.9 -9.85966e+29
-5 3 -1.00335e+30
-5 3.1 -1.02132e+30
-5 3.2 -1.03988e+30
-5 3.3 -1.05903e+30
-5 3.4 -1.07878e+30
-5 3.5 -1.09911e+30
-5 3.6 -1.12003e+30
-5 3.7 -1.14154e+30
-5 3.8 -1.16364e+30
-5 3.9 -1.18632e+30
-5 4 -1.2096e+30
-5 4.1 -1.23347e+30
-5 4.2 -1.25793e+30
-5 4.3 -1.28297e+30
-5 4.4 -1.30861e+30
-5 4.5 -1.33484e+30
-5 4.6 -1.36165e+30
-5 4.7 -1.38906e+30
-5 4.8 -1.41706e+30
-5 4.9 -1.44564e+30
-5 5 -1.47482e+30
-4.9 -5 -1.44564e+30
-4.9 -4.9 -1.41647e+30
-4.9 -4.8 -1.38789e+30
-4.9 -4.7 -1.35989e+30
-4.9 -4.6 -1.33249e+30
-4.9 -4.5 -1.30567e+30
-4.9 -4.4 -1.27944e+30
-4.9 -4.3 -1.25381e+30
-4.9 -4.2 -1.22876e+30
-4.9 -4.1 -1.2043e+30
-4.9 -4 -1.18044e+30
-4.9 -3.9 -1.15716e+30
-4.9 -3.8 -1.13447e+30
-4.9 -3.7 -1.11237e+30
-4.9 -3.6 -1.09086e+30
-4.9 -3.5 -1.06994e+30
-4.9 -3.4 -1.04961e+30
-4.9 -3.3 -1.02987e+30
-4.9 -3.2 -1.01072e+30
-4.9 -3.1 -9.9216e+29
-4.9 -3 -9.74188e+29
-4.9 -2.9 -9.56806e+29
-4.9 -2.8 -9.40013e+29
-4.9 -2.7 -9.23809e+29
-4.9 -2.6 -9.08195e+29
-4.9 -2.5 -8.93171e+29
-4.9 -2.4 -8.78735e+29
-4.9 -2.3 -8.64889e+29
-4.9 -2.2 -8.51633e+29
-4.9 -2.1 -8.38965e+29
-4.9 -2 -8.26887e+29
-4.9 -1.9 -8.15399e+29
-4.9 -1.8 -8.04499e+29
-4.9 -1.7 -7.94189e+29
-4.9 -1.6 -7.84469e+29
-4.9 -1.5 -7.75337e+29
-4.9 -1.4 -7.66795e+29
-4.9 -1.3 -7.58841e+29
-4.9 -1.2 -7.51477e+29
-4.9 -1.1 -7.44703e+29
-4.9 -1 -7.38517e+29
-4.9 -0.9 -7.3292e+29
-4.9 -0.8 -7.27913e+29
-4.9 -0.7 -7.23495e+29
-4.9 -0.6 -7.19666e+29
-4.9 -0.5 -7.16426e+29
-4.9 -0.4 -7.13775e+29
-4.9 -0.3 -7.11713e+29
-4.9 -0.2 -7.1024e+29
-4.9 -0.1 -7.09357e+29
-4.9 0 -7.09062e+29
-4.9 0.1 -7.09357e+29
-4.9 0.2 -7.1024e+29
-4.9 0.3 -7.11713e+29
-4.9 0.4 -7.13775e+29
-4.9 0.5 -7.16426e+29
-4.9 0.6 -7.19666e+29
-4.9 0.7 -7.23495e+29
-4.9 0.8 -7.27913e+29
-4.9 0.9 -7.3292e+29
-4.9 1 -7.38517e+29
-4.9 1.1 -7.44703e+29
